============================= test session starts ==============================
platform linux -- Python 3.8.6, pytest-6.2.2, py-1.10.0, pluggy-0.13.1 -- /home/ubuntu/.virtualenvs/docker-py/bin/python
cachedir: .pytest_cache
rootdir: /home/ubuntu/docker-py, configfile: pytest.ini
plugins: cov-2.6.1, timeout-1.3.3
collecting ... collected 415 items

tests/integration/api_build_test.py::BuildTest::test_build_container_with_target PASSED [  0%]
tests/integration/api_build_test.py::BuildTest::test_build_from_stringio PASSED [  0%]
tests/integration/api_build_test.py::BuildTest::test_build_gzip_custom_encoding PASSED [  0%]
tests/integration/api_build_test.py::BuildTest::test_build_gzip_encoding PASSED [  0%]
tests/integration/api_build_test.py::BuildTest::test_build_in_context_abs_dockerfile PASSED [  1%]
tests/integration/api_build_test.py::BuildTest::test_build_in_context_dockerfile PASSED [  1%]
tests/integration/api_build_test.py::BuildTest::test_build_in_context_nested_dockerfile PASSED [  1%]
tests/integration/api_build_test.py::BuildTest::test_build_invalid_platform PASSED [  1%]
tests/integration/api_build_test.py::BuildTest::test_build_isolation PASSED [  2%]
tests/integration/api_build_test.py::BuildTest::test_build_labels PASSED [  2%]
tests/integration/api_build_test.py::BuildTest::test_build_out_of_context_dockerfile PASSED [  2%]
tests/integration/api_build_test.py::BuildTest::test_build_shmsize PASSED [  2%]
tests/integration/api_build_test.py::BuildTest::test_build_squash PASSED [  3%]
tests/integration/api_build_test.py::BuildTest::test_build_stderr_data PASSED [  3%]
tests/integration/api_build_test.py::BuildTest::test_build_streaming PASSED [  3%]
tests/integration/api_build_test.py::BuildTest::test_build_with_buildargs PASSED [  3%]
tests/integration/api_build_test.py::BuildTest::test_build_with_cache_from PASSED [  4%]
tests/integration/api_build_test.py::BuildTest::test_build_with_dockerfile_empty_lines PASSED [  4%]
tests/integration/api_build_test.py::BuildTest::test_build_with_dockerignore PASSED [  4%]
tests/integration/api_build_test.py::BuildTest::test_build_with_extra_hosts PASSED [  4%]
tests/integration/api_build_test.py::BuildTest::test_build_with_network_mode PASSED [  5%]
tests/integration/api_build_test.py::BuildTest::test_build_with_proxy PASSED [  5%]
tests/integration/api_build_test.py::BuildTest::test_build_with_proxy_and_buildargs PASSED [  5%]
tests/integration/api_build_test.py::BuildTest::test_prune_builds XPASS  [  5%]
tests/integration/api_client_test.py::InformationTest::test_info PASSED  [  6%]
tests/integration/api_client_test.py::InformationTest::test_version PASSED [  6%]
tests/integration/api_client_test.py::AutoDetectVersionTest::test_client_init PASSED [  6%]
tests/integration/api_client_test.py::ConnectionTimeoutTest::test_timeout PASSED [  6%]
tests/integration/api_client_test.py::UnixconnTest::test_resource_warnings PASSED [  6%]
tests/integration/api_config_test.py::ConfigAPITest::test_create_config PASSED [  7%]
tests/integration/api_config_test.py::ConfigAPITest::test_create_config_unicode_data PASSED [  7%]
tests/integration/api_config_test.py::ConfigAPITest::test_inspect_config PASSED [  7%]
tests/integration/api_config_test.py::ConfigAPITest::test_list_configs PASSED [  7%]
tests/integration/api_config_test.py::ConfigAPITest::test_remove_config PASSED [  8%]
tests/integration/api_container_test.py::ListContainersTest::test_list_containers PASSED [  8%]
tests/integration/api_container_test.py::CreateContainerTest::test_create PASSED [  8%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_container_with_volumes_from PASSED [  8%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_auto_remove PASSED [  9%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_cpu_rt_options XFAIL [  9%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_device_cgroup_rules PASSED [  9%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_environment_variable_no_value PASSED [  9%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_host_pid_mode PASSED [ 10%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_init PASSED [ 10%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_isolation PASSED [ 10%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_links PASSED [ 10%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_mac_address PASSED [ 11%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_memory_constraints_with_int PASSED [ 11%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_memory_constraints_with_str PASSED [ 11%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_restart_policy PASSED [ 11%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_stop_timeout PASSED [ 12%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_storage_opt XFAIL [ 12%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_tmpfs PASSED [ 12%]
tests/integration/api_container_test.py::CreateContainerTest::test_create_with_uts_mode PASSED [ 12%]
tests/integration/api_container_test.py::CreateContainerTest::test_group_id_ints PASSED [ 13%]
tests/integration/api_container_test.py::CreateContainerTest::test_group_id_strings PASSED [ 13%]
tests/integration/api_container_test.py::CreateContainerTest::test_invalid_log_driver_raises_exception PASSED [ 13%]
tests/integration/api_container_test.py::CreateContainerTest::test_valid_log_driver_and_log_opt PASSED [ 13%]
tests/integration/api_container_test.py::CreateContainerTest::test_valid_no_config_specified PASSED [ 13%]
tests/integration/api_container_test.py::CreateContainerTest::test_valid_no_log_driver_specified PASSED [ 14%]
tests/integration/api_container_test.py::VolumeBindTest::test_create_with_binds_ro PASSED [ 14%]
tests/integration/api_container_test.py::VolumeBindTest::test_create_with_binds_rw PASSED [ 14%]
tests/integration/api_container_test.py::VolumeBindTest::test_create_with_mounts PASSED [ 14%]
tests/integration/api_container_test.py::VolumeBindTest::test_create_with_mounts_ro PASSED [ 15%]
tests/integration/api_container_test.py::VolumeBindTest::test_create_with_volume_mount PASSED [ 15%]
tests/integration/api_container_test.py::ArchiveTest::test_copy_directory_to_container PASSED [ 15%]
tests/integration/api_container_test.py::ArchiveTest::test_copy_file_to_container PASSED [ 15%]
tests/integration/api_container_test.py::ArchiveTest::test_get_file_archive_from_container PASSED [ 16%]
tests/integration/api_container_test.py::ArchiveTest::test_get_file_stat_from_container PASSED [ 16%]
tests/integration/api_container_test.py::RenameContainerTest::test_rename_container PASSED [ 16%]
tests/integration/api_container_test.py::StartContainerTest::test_run_shlex_commands PASSED [ 16%]
tests/integration/api_container_test.py::StartContainerTest::test_start_container PASSED [ 17%]
tests/integration/api_container_test.py::StartContainerTest::test_start_container_with_dict_instead_of_id PASSED [ 17%]
tests/integration/api_container_test.py::WaitTest::test_wait PASSED      [ 17%]
tests/integration/api_container_test.py::WaitTest::test_wait_with_condition PASSED [ 17%]
tests/integration/api_container_test.py::WaitTest::test_wait_with_dict_instead_of_id PASSED [ 18%]
tests/integration/api_container_test.py::LogsTest::test_logs PASSED      [ 18%]
tests/integration/api_container_test.py::LogsTest::test_logs_streaming_and_follow PASSED [ 18%]
tests/integration/api_container_test.py::LogsTest::test_logs_streaming_and_follow_and_cancel PASSED [ 18%]
tests/integration/api_container_test.py::LogsTest::test_logs_tail_option PASSED [ 19%]
tests/integration/api_container_test.py::LogsTest::test_logs_with_dict_instead_of_id PASSED [ 19%]
tests/integration/api_container_test.py::LogsTest::test_logs_with_tail_0 PASSED [ 19%]
tests/integration/api_container_test.py::LogsTest::test_logs_with_until PASSED [ 19%]
tests/integration/api_container_test.py::DiffTest::test_diff PASSED      [ 20%]
tests/integration/api_container_test.py::DiffTest::test_diff_with_dict_instead_of_id PASSED [ 20%]
tests/integration/api_container_test.py::StopTest::test_stop PASSED      [ 20%]
tests/integration/api_container_test.py::StopTest::test_stop_with_dict_instead_of_id PASSED [ 20%]
tests/integration/api_container_test.py::KillTest::test_kill PASSED      [ 20%]
tests/integration/api_container_test.py::KillTest::test_kill_with_dict_instead_of_id PASSED [ 21%]
tests/integration/api_container_test.py::KillTest::test_kill_with_signal PASSED [ 21%]
tests/integration/api_container_test.py::KillTest::test_kill_with_signal_integer PASSED [ 21%]
tests/integration/api_container_test.py::KillTest::test_kill_with_signal_name PASSED [ 21%]
tests/integration/api_container_test.py::PortTest::test_port PASSED      [ 22%]
tests/integration/api_container_test.py::ContainerTopTest::test_top XFAIL [ 22%]
tests/integration/api_container_test.py::ContainerTopTest::test_top_with_psargs XFAIL [ 22%]
tests/integration/api_container_test.py::RestartContainerTest::test_restart PASSED [ 22%]
tests/integration/api_container_test.py::RestartContainerTest::test_restart_with_dict_instead_of_id PASSED [ 23%]
tests/integration/api_container_test.py::RestartContainerTest::test_restart_with_low_timeout PASSED [ 23%]
tests/integration/api_container_test.py::RemoveContainerTest::test_remove PASSED [ 23%]
tests/integration/api_container_test.py::RemoveContainerTest::test_remove_with_dict_instead_of_id PASSED [ 23%]
tests/integration/api_container_test.py::AttachContainerTest::test_attach_no_stream PASSED [ 24%]
tests/integration/api_container_test.py::AttachContainerTest::test_attach_stream_and_cancel PASSED [ 24%]
tests/integration/api_container_test.py::AttachContainerTest::test_detach_with_arg PASSED [ 24%]
tests/integration/api_container_test.py::AttachContainerTest::test_detach_with_config_file PASSED [ 24%]
tests/integration/api_container_test.py::AttachContainerTest::test_detach_with_default PASSED [ 25%]
tests/integration/api_container_test.py::AttachContainerTest::test_run_container_reading_socket PASSED [ 25%]
tests/integration/api_container_test.py::AttachContainerTest::test_run_container_streaming PASSED [ 25%]
tests/integration/api_container_test.py::PauseTest::test_pause_unpause PASSED [ 25%]
tests/integration/api_container_test.py::PruneTest::test_prune_containers PASSED [ 26%]
tests/integration/api_container_test.py::GetContainerStatsTest::test_get_container_stats_no_stream PASSED [ 26%]
tests/integration/api_container_test.py::ContainerUpdateTest::test_restart_policy_update PASSED [ 26%]
tests/integration/api_container_test.py::ContainerUpdateTest::test_update_container PASSED [ 26%]
tests/integration/api_container_test.py::ContainerCPUTest::test_container_cpu_shares PASSED [ 26%]
tests/integration/api_container_test.py::ContainerCPUTest::test_container_cpuset FAILED [ 27%]
tests/integration/api_container_test.py::ContainerCPUTest::test_create_with_runtime PASSED [ 27%]
tests/integration/api_container_test.py::LinkTest::test_remove_link PASSED [ 27%]
